Age,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Sex,2013_prop,2014_prop,2015_prop,2016_prop,2017_prop,2018_prop,2019_prop,2020_prop,2021_prop,2022_prop,2023_prop
Aged under 1,1503,1371,1490,1433,1437,1369,1365,1255,1337,1316,1384,Male,0.435,0.405,0.441,0.42,0.433,0.423,0.432,0.409,0.451,0.431,0.471
Aged 1 to 4,249,256,243,209,207,202,172,176,158,196,210,Male,0.018,0.018,0.017,0.015,0.015,0.015,0.013,0.014,0.012,0.016,0.016
Aged 5 to 9,133,151,138,128,153,124,123,133,111,141,136,Male,0.008,0.009,0.008,0.007,0.009,0.007,0.007,0.008,0.006,0.008,0.008
Aged 10-14,147,167,155,152,143,176,173,145,134,188,211,Male,0.01,0.011,0.01,0.01,0.009,0.011,0.01,0.008,0.008,0.011,0.012
Aged 15-19,499,497,491,455,476,520,424,408,542,535,595,Male,0.03,0.03,0.03,0.028,0.03,0.033,0.027,0.025,0.033,0.031,0.034
Aged 20-24,818,902,901,916,806,919,903,789,890,877,853,Male,0.045,0.049,0.049,0.05,0.045,0.052,0.051,0.046,0.052,0.05,0.048
Aged 25-29,1057,1103,1073,1144,1076,1124,1182,1098,1156,1140,1140,Male,0.059,0.061,0.059,0.062,0.058,0.061,0.064,0.06,0.064,0.062,0.061
Aged 30-34,1401,1428,1419,1523,1395,1527,1527,1542,1664,1670,1662,Male,0.076,0.078,0.077,0.082,0.075,0.082,0.081,0.081,0.087,0.086,0.085
Aged 35-39,1943,1898,1908,1900,2043,2090,2082,2291,2424,2262,2430,Male,0.115,0.111,0.109,0.106,0.112,0.113,0.112,0.124,0.132,0.121,0.127
Aged 40-44,3167,3059,3032,3043,2893,2936,2705,3187,3465,3210,3437,Male,0.168,0.165,0.166,0.171,0.167,0.172,0.158,0.184,0.197,0.179,0.187
Aged 45-49,4704,4784,4717,4777,4838,4897,4645,5172,5308,4701,4599,Male,0.241,0.245,0.243,0.246,0.252,0.258,0.25,0.285,0.301,0.274,0.272
Aged 50-54,6512,6635,6872,6973,7031,7346,7263,8248,8568,7854,7860,Male,0.362,0.359,0.363,0.363,0.363,0.378,0.374,0.429,0.446,0.413,0.42
Aged 55-59,8978,9042,9319,9499,9685,9994,10071,11962,12228,11427,11512,Male,0.583,0.573,0.574,0.568,0.562,0.565,0.555,0.646,0.652,0.604,0.607
Aged 60-64,13666,13276,13393,13301,13351,13344,13291,15774,16578,15203,15761,Male,0.949,0.931,0.943,0.929,0.916,0.896,0.872,1.007,1.027,0.915,0.926
Aged 65-69,20154,20326,20778,21079,19995,19729,18954,21443,21334,20264,20317,Male,1.422,1.41,1.426,1.442,1.438,1.455,1.412,1.605,1.584,1.477,1.451
Aged 70-74,24234,24440,25319,26134,27983,29096,28684,33162,32244,29722,28815,Male,2.428,2.351,2.347,2.308,2.258,2.249,2.18,2.5,2.426,2.351,2.338
Aged 75-79,32324,32202,33435,33120,33129,33488,33562,40104,39475,40424,41447,Male,4.058,3.943,4.048,4.028,3.986,3.916,3.756,4.336,4.072,3.799,3.727
Aged 80-84,39966,39236,41183,40577,41271,41692,41893,49133,45290,43976,44655,Male,7.306,7.037,7.255,7.002,6.964,6.84,6.678,7.785,7.232,6.933,6.835
Aged 85-89,37641,37630,40289,40191,41307,42463,41702,48981,45129,45595,46366,Male,12.959,12.514,13.044,12.601,12.568,12.671,12.119,14.038,12.622,12.396,12.267
Aged 90 and over,30193,30713,34262,34167,36245,36976,37173,43739,41138,42878,42862,Male,23.827,22.837,24.717,23.594,24.224,24.202,23.285,27.22,24.935,25.081,24.711
Aged under 1,1108,1177,1085,1154,1135,1080,1048,994,1037,979,997,Female,0.338,0.366,0.339,0.357,0.36,0.352,0.351,0.34,0.367,0.336,0.357
Aged 1 to 4,212,190,194,200,161,146,177,130,141,165,168,Female,0.016,0.014,0.015,0.015,0.012,0.011,0.014,0.01,0.012,0.014,0.014
Aged 5 to 9,116,121,119,93,105,123,115,73,99,118,98,Female,0.007,0.008,0.007,0.006,0.006,0.007,0.007,0.004,0.006,0.007,0.006
Aged 10-14,119,112,121,116,107,111,111,118,118,127,152,Female,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.009
Aged 15-19,223,277,273,240,236,249,243,219,235,257,251,Female,0.014,0.018,0.017,0.016,0.015,0.016,0.016,0.014,0.015,0.016,0.015
Aged 20-24,363,383,356,364,307,358,361,311,388,369,373,Female,0.02,0.021,0.02,0.02,0.017,0.02,0.02,0.018,0.023,0.022,0.022
Aged 25-29,514,525,511,536,473,545,526,497,554,541,531,Female,0.028,0.028,0.027,0.028,0.024,0.028,0.027,0.026,0.029,0.029,0.028
Aged 30-34,776,819,764,848,783,812,809,865,917,888,868,Female,0.042,0.043,0.04,0.044,0.04,0.041,0.04,0.043,0.045,0.043,0.042
Aged 35-39,1102,1144,1176,1146,1217,1260,1237,1374,1448,1388,1459,Female,0.065,0.066,0.067,0.063,0.065,0.066,0.064,0.071,0.074,0.07,0.071
Aged 40-44,1960,1997,1865,1848,1815,1709,1739,1977,2074,2057,2160,Female,0.102,0.106,0.101,0.102,0.103,0.098,0.099,0.11,0.113,0.109,0.111
Aged 45-49,3061,3088,3136,3178,3084,3239,3010,3322,3338,2989,2979,Female,0.154,0.155,0.158,0.16,0.156,0.166,0.158,0.178,0.184,0.169,0.171
Aged 50-54,4440,4513,4729,4880,4857,4760,4825,5272,5367,5201,4936,Female,0.243,0.24,0.245,0.248,0.244,0.238,0.241,0.266,0.271,0.265,0.255
Aged 55-59,6124,6014,6207,6707,6390,6900,6746,7554,8000,7638,7599,Female,0.389,0.374,0.375,0.393,0.363,0.381,0.362,0.396,0.411,0.389,0.386
Aged 60-64,9105,8988,8955,9094,9002,9229,9146,10392,10823,10161,10478,Female,0.608,0.606,0.607,0.612,0.596,0.599,0.581,0.643,0.649,0.591,0.593
Aged 65-69,13963,13889,14484,14721,13863,13523,12881,14163,14414,13931,14188,Female,0.934,0.911,0.938,0.949,0.937,0.938,0.902,0.998,1.008,0.958,0.957
Aged 70-74,17614,17918,18616,19410,20215,21230,21202,23554,23462,21526,20699,Female,1.594,1.567,1.574,1.569,1.498,1.506,1.475,1.619,1.606,1.545,1.525
Aged 75-79,26350,26074,27025,26678,26883,27169,26740,31093,30869,32260,33012,Female,2.796,2.711,2.787,2.769,2.768,2.731,2.59,2.916,2.767,2.645,2.589
Aged 80-84,39839,38381,40504,38500,38885,39224,38659,43900,41212,40661,40836,Female,5.32,5.113,5.398,5.091,5.081,5.025,4.846,5.471,5.175,5.062,4.961
Aged 85-89,49549,47699,51568,50155,50871,51024,48680,54940,50936,50713,51295,Female,10.028,9.545,10.228,9.822,9.859,9.87,9.341,10.556,9.669,9.449,9.372
Aged 90 and over,67723,66450,73204,70202,73029,73156,70221,80210,74744,74785,74723,Female,21.013,19.923,22.012,20.803,21.633,21.8,20.465,23.532,21.699,21.406,21.482
