"","age_bin","stone_free_status","n","mobility_mean","mobility_sd","selfcare_mean","selfcare_sd","usual_act_mean","usual_act_sd","pain_mean","pain_sd","anxiety_mean","anxiety_sd","utility_mean","utility_sd"
"1","Aged 5 to 9","less4",NA,1.54761904761905,0.7,1.14285714285714,0.7,1.71428571428571,0.7,2.26190476190476,0.7,1.80952380952381,0.7,NA,NA
"2","Aged 5 to 9","more4",NA,1.4607059523236,0.7,1.22241633153398,0.7,1.67467120673003,0.7,1.94752820821706,0.7,1.54388480153186,0.7,NA,NA
"3","Aged 5 to 9","SF",NA,1.40892857142857,0.7,1.08554421768707,0.7,1.44192176870748,0.7,1.60595238095238,0.7,1.56768707482993,0.7,NA,NA
"4","Aged 10-14","less4",NA,1.54761904761905,0.7,1.14285714285714,0.7,1.71428571428571,0.7,2.26190476190476,0.7,1.80952380952381,0.7,NA,NA
"5","Aged 10-14","more4",NA,1.4607059523236,0.7,1.22241633153398,0.7,1.67467120673003,0.7,1.94752820821706,0.7,1.54388480153186,0.7,NA,NA
"6","Aged 10-14","SF",NA,1.40892857142857,0.7,1.08554421768707,0.7,1.44192176870748,0.7,1.60595238095238,0.7,1.56768707482993,0.7,NA,NA
"7","Aged 15-19","less4",NA,1.54761904761905,0.7,1.14285714285714,0.7,1.71428571428571,0.7,2.26190476190476,0.7,1.80952380952381,0.7,NA,NA
"8","Aged 15-19","more4",2,2,0,1.5,0.707106781186548,2,0,2,0,1,0,0.6915,0.0615182899632296
"9","Aged 15-19","SF",NA,1.40892857142857,0.7,1.08554421768707,0.7,1.44192176870748,0.7,1.60595238095238,0.7,1.56768707482993,0.7,NA,NA
"10","Aged 20-24","less4",1,2,0.7,1,0.7,2,0.7,2,0.7,2,0.7,0.679,NA
"11","Aged 20-24","more4",10,1.5,0.707106781186548,1.3,0.674948557710553,1.8,0.632455532033676,1.9,0.567646212197547,2.1,0.737864787372622,0.7344,0.121574120053022
"12","Aged 20-24","SF",1,1,0.7,1,0.7,1,0.7,1,0.7,2,0.7,0.879,NA
"13","Aged 25-29","less4",2,1.5,0.707106781186548,1,0,2,1.4142135623731,2.5,0.707106781186548,1.5,0.707106781186548,0.7355,0.0459619407771256
"14","Aged 25-29","more4",9,1.33333333333333,0.5,1.11111111111111,0.333333333333333,1.66666666666667,0.5,1.77777777777778,0.440958551844098,1.55555555555556,0.52704627669473,0.775444444444444,0.114338435260317
"15","Aged 25-29","SF",1,2,0.7,1,0.7,2,0.7,2,0.7,1,0.7,0.735,NA
"16","Aged 30-34","less4",NA,1.54761904761905,0.7,1.14285714285714,0.7,1.71428571428571,0.7,2.26190476190476,0.7,1.80952380952381,0.7,NA,NA
"17","Aged 30-34","more4",20,1.4,0.598243041616119,1.2,0.523148363780597,1.6,0.680557047378721,1.89473684210526,0.65783625471062,1.75,0.716350399411379,0.777263157894737,0.150016607267797
"18","Aged 30-34","SF",5,1.4,0.894427190999916,1.4,0.894427190999916,1.8,0.836660026534076,1.8,0.836660026534076,2,0.707106781186548,0.7734,0.18134993796525
"19","Aged 35-39","less4",3,1,0,1,0,1.33333333333333,0.577350269189626,2.33333333333333,1.15470053837925,2,1,0.812,0.162963186026783
"20","Aged 35-39","more4",15,1.4,0.50709255283711,1.13333333333333,0.351865775274498,1.66666666666667,0.816496580927726,2.13333333333333,0.833809387832792,1.66666666666667,0.723746864455746,0.779933333333333,0.157982578906964
"21","Aged 35-39","SF",3,1,0,1,0,1,0,1.5,0.707106781186548,1.66666666666667,0.577350269189626,0.884,0.164048773235279
"22","Aged 40-44","less4",NA,1.54761904761905,0.7,1.14285714285714,0.7,1.71428571428571,0.7,2.26190476190476,0.7,1.80952380952381,0.7,NA,NA
"23","Aged 40-44","more4",17,1.17647058823529,0.392952623996688,1.17647058823529,0.528594139870924,1.58823529411765,0.618346942400842,1.94117647058824,0.747545001596402,1.47058823529412,0.717430053979439,0.804764705882353,0.125315366880804
"24","Aged 40-44","SF",5,1,0,1,0,1.4,0.547722557505166,1.8,0.836660026534076,2,1,0.8364,0.150654571785924
"25","Aged 45-49","less4",NA,1.54761904761905,0.7,1.14285714285714,0.7,1.71428571428571,0.7,2.26190476190476,0.7,1.80952380952381,0.7,NA,NA
"26","Aged 45-49","more4",20,1.55,0.6048053188293,1.3,0.470162345981627,1.9,0.718184846459608,1.84210526315789,0.602140431639667,1.85,0.812727700887249,0.740052631578947,0.15507004642498
"27","Aged 45-49","SF",7,1.14285714285714,0.377964473009227,1.14285714285714,0.377964473009227,1.57142857142857,0.786795792469443,1.42857142857143,0.534522483824849,1.42857142857143,0.534522483824849,0.865142857142857,0.174565583254956
"28","Aged 50-54","less4",NA,1.54761904761905,0.7,1.14285714285714,0.7,1.71428571428571,0.7,2.26190476190476,0.7,1.80952380952381,0.7,NA,NA
"29","Aged 50-54","more4",16,1.1875,0.403112887414928,1,0,1.5625,0.629152869605896,1.75,0.577350269189626,1.5625,0.51234753829798,0.805375,0.0924055373521162
"30","Aged 50-54","SF",8,1.375,0.517549169506766,1,0,1.375,0.517549169506766,1.25,0.707106781186548,1.25,0.462910049886276,0.893625,0.107818547967009
"31","Aged 55-59","less4",2,1,0,1,0,1.5,0.707106781186548,2.5,0.707106781186548,1.5,0.707106781186548,0.766,0.0424264068711929
"32","Aged 55-59","more4",20,1.4,0.502624689950035,1.1,0.307793505625546,1.7,0.732695097065047,2.1,0.788068925652412,1.5,0.512989176042577,0.77525,0.126378660340556
"33","Aged 55-59","SF",5,1.2,0.447213595499958,1,0,1.6,0.547722557505166,1.8,0.447213595499958,1.4,0.547722557505166,0.8094,0.122156866364523
"34","Aged 60-64","less4",2,2,1.4142135623731,1.5,0.707106781186548,1.5,0.707106781186548,2.5,0.707106781186548,2,1.4142135623731,0.689,0.209303607231218
"35","Aged 60-64","more4",37,1.32432432432432,0.529887517102244,1.13513513513514,0.419136822142455,1.48648648648649,0.55884909618994,1.86486486486486,0.673389525797256,1.51351351351351,0.55884909618994,0.798108108108108,0.128197933720518
"36","Aged 60-64","SF",14,1.35714285714286,0.497245158098847,1.07142857142857,0.267261241912424,1.35714285714286,0.497245158098847,1.57142857142857,0.755928946018454,1.28571428571429,0.611249845502127,0.865285714285714,0.154685998854965
