Sex,Year,age,mx,qx,lx,dx,ex
male,2020,0,0.004355,0.004346,100000.0,434.6,78.83
male,2020,1,0.000225,0.000225,99565.4,22.4,78.18
male,2020,2,0.000146,0.000146,99543.0,14.6,77.19
male,2020,3,0.000110,0.000110,99528.4,11.0,76.20
male,2020,4,0.000084,0.000084,99517.4,8.3,75.21
male,2020,5,0.000072,0.000072,99509.1,7.1,74.22
male,2020,6,0.000068,0.000068,99501.9,6.8,73.22
male,2020,7,0.000079,0.000079,99495.1,7.9,72.23
male,2020,8,0.000077,0.000077,99487.3,7.6,71.23
male,2020,9,0.000079,0.000079,99479.6,7.9,70.24
male,2020,10,0.000056,0.000056,99471.8,5.6,69.25
male,2020,11,0.000071,0.000071,99466.2,7.0,68.25
male,2020,12,0.000103,0.000103,99459.2,10.2,67.25
male,2020,13,0.000104,0.000104,99448.9,10.4,66.26
male,2020,14,0.000117,0.000117,99438.6,11.6,65.27
male,2020,15,0.000172,0.000172,99427.0,17.1,64.28
male,2020,16,0.000197,0.000197,99409.9,19.6,63.29
male,2020,17,0.000287,0.000287,99390.3,28.5,62.30
male,2020,18,0.000390,0.000390,99361.9,38.7,61.32
male,2020,19,0.000458,0.000457,99323.1,45.4,60.34
male,2020,20,0.000489,0.000489,99277.7,48.5,59.37
male,2020,21,0.000484,0.000484,99229.1,48.0,58.40
male,2020,22,0.000478,0.000477,99181.1,47.4,57.42
male,2020,23,0.000534,0.000533,99133.8,52.9,56.45
male,2020,24,0.000507,0.000506,99080.9,50.2,55.48
male,2020,25,0.000557,0.000556,99030.7,55.1,54.51
male,2020,26,0.000631,0.000631,98975.6,62.4,53.54
male,2020,27,0.000607,0.000606,98913.2,60.0,52.57
male,2020,28,0.000644,0.000644,98853.2,63.7,51.60
male,2020,29,0.000689,0.000689,98789.5,68.1,50.64
male,2020,30,0.000736,0.000736,98721.5,72.7,49.67
male,2020,31,0.000806,0.000805,98648.8,79.5,48.71
male,2020,32,0.000860,0.000859,98569.4,84.7,47.75
male,2020,33,0.000930,0.000929,98484.7,91.5,46.79
male,2020,34,0.000950,0.000950,98393.1,93.5,45.83
male,2020,35,0.001046,0.001045,98299.7,102.7,44.87
male,2020,36,0.001134,0.001133,98196.9,111.3,43.92
male,2020,37,0.001264,0.001263,98085.7,123.9,42.97
male,2020,38,0.001328,0.001327,97961.8,130.0,42.02
male,2020,39,0.001552,0.001550,97831.8,151.7,41.08
male,2020,40,0.001594,0.001593,97680.1,155.6,40.14
male,2020,41,0.001796,0.001794,97524.5,175.0,39.20
male,2020,42,0.001846,0.001845,97349.5,179.6,38.27
male,2020,43,0.001994,0.001992,97169.9,193.5,37.34
male,2020,44,0.002169,0.002167,96976.4,210.1,36.42
male,2020,45,0.002405,0.002402,96766.2,232.4,35.50
male,2020,46,0.002566,0.002563,96533.8,247.4,34.58
male,2020,47,0.002846,0.002842,96286.4,273.6,33.67
