ladcode23,laname23,country,sex,age,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2022
K02000001,UNITED KINGDOM,Country,M,0,"409,580","415,251","404,832","396,857","395,937","398,858","387,819","377,980","369,114","358,223","345,998","355,524"
K02000001,UNITED KINGDOM,Country,M,1,"403,912","412,171","416,795","406,712","398,573","397,449","399,389","387,378","377,846","369,546","359,627","353,656"
K02000001,UNITED KINGDOM,Country,M,2,"399,930","405,731","413,664","417,838","407,695","399,347","396,828","398,533","386,358","375,683","368,813","366,530"
K02000001,UNITED KINGDOM,Country,M,3,"404,523","401,481","407,022","415,058","418,602","408,138","398,528","395,491","398,030","384,611","373,871","375,590"
K02000001,UNITED KINGDOM,Country,M,4,"391,667","405,728","402,916","408,520","416,433","419,081","407,643","397,526","394,832","396,797","383,539","379,946"
K02000001,UNITED KINGDOM,Country,M,5,"383,111","392,512","406,932","404,697","410,179","417,838","419,012","407,276","396,989","393,575","396,235","389,491"
K02000001,UNITED KINGDOM,Country,M,6,"368,248","383,872","393,456","408,425","406,432","411,621","418,462","418,668","407,304","396,161","393,193","402,328"
K02000001,UNITED KINGDOM,Country,M,7,"361,924","370,394","384,631","394,499","409,933","407,952","412,327","418,811","418,789","406,829","395,949","399,094"
K02000001,UNITED KINGDOM,Country,M,8,"351,669","364,273","372,408","385,467","395,509","411,077","408,727","412,663","419,483","418,212","406,750","401,602"
K02000001,UNITED KINGDOM,Country,M,9,"345,654","354,227","366,935","374,909","386,561","396,622","411,957","409,604","413,554","419,566","418,132","412,248"
K02000001,UNITED KINGDOM,Country,M,10,"354,100","347,408","356,700","369,689","377,213","387,445","397,187","412,617","410,781","413,870","420,377","423,339"
K02000001,UNITED KINGDOM,Country,M,11,"365,394","354,827","349,504","359,527","372,592","379,727","388,209","397,849","413,990","411,475","414,894","425,205"
K02000001,UNITED KINGDOM,Country,M,12,"376,524","365,750","355,692","351,702","362,401","375,563","382,037","388,975","398,910","414,609","412,660","419,538"
K02000001,UNITED KINGDOM,Country,M,13,"381,599","376,827","366,475","356,964","354,247","365,510","378,410","384,450","389,984","399,420","415,915","417,190"
K02000001,UNITED KINGDOM,Country,M,14,"392,835","381,502","377,464","367,659","358,750","357,130","368,849","381,721","387,542","391,224","400,955","420,487"
K02000001,UNITED KINGDOM,Country,M,15,"395,133","392,942","381,900","378,834","369,526","361,081","360,239","372,518","385,335","389,639","392,805","405,549"
