"","age_bin","stone_free_status","total_mean","total_sd","total_se","total_ci_lower","total_ci_upper"
"1","Aged 15-19","more4",27.5,0.707106781186548,0.5,26.52,28.48
"2","Aged 20-24","less4",35,NA,NA,NA,NA
"3","Aged 20-24","more4",37.1818181818182,10.6660037672802,3.21592113714416,30.8786127530156,43.4850236106207
"4","Aged 20-24","SF",27,NA,NA,NA,NA
"5","Aged 20-24",NA,NA,NA,NA,NA,NA
"6","Aged 25-29","less4",22.5,6.36396103067893,4.5,13.68,31.32
"7","Aged 25-29","more4",29.8888888888889,7.80135315897897,2.60045105299299,24.7920048250226,34.9857729527551
"8","Aged 25-29","SF",26,NA,NA,NA,NA
"9","Aged 25-29",NA,NA,NA,NA,NA,NA
"10","Aged 30-34","more4",33.65,9.69685244646019,2.16828212380701,29.4001670373383,37.8998329626617
"11","Aged 30-34","SF",31.6,7.12741187248218,3.18747549010185,25.3525480394004,37.8474519605996
"12","Aged 30-34",NA,NA,NA,NA,NA,NA
"13","Aged 35-39","less4",32,14.525839046334,8.38649708360608,15.5624657161321,48.4375342838679
"14","Aged 35-39","more4",34.5333333333333,11.4696286318425,2.96144537855398,28.7289003913675,40.3377662752991
"15","Aged 35-39","SF",31.6666666666667,4.50924975282289,2.60341655863555,26.563970211741,36.7693631215923
"16","Aged 35-39",NA,NA,NA,NA,NA,NA
"17","Aged 40-44","more4",30.5882352941176,9.09710684455099,2.20637249456548,26.2637452047693,34.912725383466
"18","Aged 40-44","SF",30,12.6491106406735,5.65685424949238,18.9125656709949,41.0874343290051
"19","Aged 40-44",NA,NA,NA,NA,NA,NA
"20","Aged 45-49","more4",32.35,10.0277247248763,2.24226741444787,27.9551558676822,36.7448441323178
"21","Aged 45-49","SF",27,11.2398102000582,4.24824893898875,18.673432079582,35.326567920418
"22","Aged 45-49",NA,32.5,0.707106781186548,0.5,31.52,33.48
"23","Aged 50-54","more4",32.5625,8.7937003966855,2.19842509917137,28.2535868056241,36.8714131943759
"24","Aged 50-54","SF",22,12.8507920823137,4.54344111251121,13.094855419478,30.905144580522
"25","Aged 50-54",NA,NA,NA,NA,NA,NA
"26","Aged 55-59","less4",33,5.65685424949238,4,25.16,40.84
"27","Aged 55-59","more4",32,12.0219098228806,2.68818075833335,26.7311657136666,37.2688342863334
"28","Aged 55-59","SF",26.6,8.96102672688794,4.00749298190278,18.7453137554706,34.4546862445294
"29","Aged 55-59",NA,NA,NA,NA,NA,NA
"30","Aged 60-64","less4",26,7.07106781186548,5,16.2,35.8
"31","Aged 60-64","more4",26.5675675675676,10.1202232642822,1.66375445595211,23.3066088339014,29.8285263012337
"32","Aged 60-64","SF",19.2142857142857,5.3519021985512,1.43035602817863,16.4107878990556,22.0177835295158
"33","Aged 60-64",NA,44,NA,NA,NA,NA
"34","Aged 65-69","less4",16,14.7309198626562,8.50490054811538,-0.669605074306148,32.6696050743061
"35","Aged 65-69","more4",26.6428571428571,9.89644180701127,2.64493532785587,21.4587839002596,31.8269303854546
"36","Aged 65-69","SF",17.3333333333333,0.577350269189626,0.333333333333333,16.68,17.9866666666667
"37","Aged 65-69",NA,20,3.60555127546399,2.08166599946613,15.9199346410464,24.0800653589536
"38","Aged 70-74","more4",27.625,9.52102935611481,2.3802573390287,22.9596956155037,32.2903043844963
"39","Aged 70-74","SF",16.5,1.29099444873581,0.645497224367903,15.2348254402389,17.7651745597611
"40","Aged 75-79","less4",30.5,20.5060966544099,14.5,2.08000000000001,58.92
"41","Aged 75-79","more4",26.5,7.66930126010068,2.21393657350773,22.1606843159248,30.8393156840752
"42","Aged 75-79","SF",17.3333333333333,4.16333199893227,2.40370085030933,12.6220796667271,22.0445869999396
"43","Aged 75-79",NA,13,NA,NA,NA,NA
"44","Aged 80-84","more4",27.5454545454545,7.7764212381228,2.34467922350948,22.949883267376,32.1410258235331
"45","Aged 80-84","SF",25.6666666666667,2.3094010767585,1.33333333333333,23.0533333333333,28.28
"46","Aged 85-89","more4",22,8.57321409974112,3.83405790253616,14.4852465110291,29.5147534889709
"47","Aged 85-89","SF",25,NA,NA,NA,NA
